,Run,Event,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,class
52,173692,542632235,15.3211,-1.2997,-0.6064,-1,60.5156,0.8169,2.5921,1,Zmumu
53,167807,1163560173,47.4886,0.0964,-2.1623,1,42.6657,0.1234,1.072,-1,Zmumu
54,172163,318159330,32.9289,-1.0267,0.4601,-1,45.1934,-2.3697,2.9254,1,Zee
55,173692,395289198,35.8027,-1.9518,2.9649,-1,39.5558,-0.7545,-0.6391,1,Zmumu
56,172802,287909786,41.2858,2.1299,1.1514,-1,45.3458,1.8838,-1.9958,1,Zee
57,163589,21455170,4.259,-2.3842,-0.2891,1,22.2514,1.3842,2.5639,-1,Zmumu
58,166895,150132638,27.4043,-2.0707,2.9341,1,29.3445,-0.1537,-0.1473,-1,Zmumu
59,173692,331668847,46.1347,1.0058,0.1379,-1,56.5167,0.1424,2.3489,1,Zmumu
60,171876,423407067,47.7796,-1.5701,0.3162,-1,44.6912,-1.6048,-2.9418,1,Zee
61,166701,683464232,40.5806,0.0022,-1.8007,-1,40.1389,0.6891,1.2685,1,Zmumu
62,173692,314223708,27.1915,1.733,0.5075,1,30.562,-0.138,-2.6806,-1,Zmumu
63,163796,110439102,41.8308,-1.968,-1.9886,1,45.5544,-1.3513,1.4236,-1,Zmumu
64,170759,391233824,44.3073,0.3595,-0.3174,1,45.189,-0.2632,2.8628,-1,Zee
65,166895,424791452,43.7773,1.8413,1.4765,1,45.9696,1.7554,-1.8025,-1,Zmumu
66,171484,259931679,39.9351,0.9021,-1.4573,-1,34.7183,-0.5999,2.6651,1,Zee
67,166782,402556923,25.2556,1.3148,-0.954,-1,35.6894,1.0317,1.9277,-1,Zee
68,166033,523109075,33.8186,0.3301,-1.5454,-1,57.532,-0.6672,0.4931,1,Zmumu
69,166438,110497372,41.8303,-1.3845,-1.5746,-1,29.3056,0.1935,1.3278,1,Zmumu
70,173406,198333842,39.4712,-2.391,2.5597,-1,47.0003,-1.6381,-0.0563,1,Zee
71,172163,575678986,36.964,-0.9193,0.8481,1,31.5641,0.6648,-2.0719,-1,Zee
72,166923,1170894,35.4742,1.8903,-1.0682,-1,28.8885,0.0629,1.7047,1,Zee
73,166784,34246937,28.4398,0.8071,-1.2636,-1,52.5381,-0.5424,1.7716,1,Zmumu
74,165548,657566067,47.8578,-2.306,0.2981,1,39.3745,-2.3088,-2.7729,-1,Zmumu
75,173692,378879663,46.1897,1.3386,-0.8404,1,36.5843,0.3558,2.4689,-1,Zmumu
76,163340,7655113,50.0079,1.9324,-0.5346,-1,39.2829,1.8052,2.5901,1,Zmumu
77,172163,321268003,51.3555,-1.9106,1.3444,-1,37.9009,-2.3252,-2.1801,-1,Zee
78,166782,301183546,63.946,2.4094,1.6301,-1,31.3511,1.256,-1.4353,1,Zee
79,171876,597412666,41.0622,1.666,-1.6852,-1,68.1762,1.8859,1.5514,-1,Zee
80,160957,115646663,20.6203,-1.3363,2.9942,-1,24.9626,1.3296,-0.2283,1,Zmumu
81,165570,289997289,31.7905,-1.9664,-2.1874,1,26.314,-0.9286,1.8951,1,Zee
82,160957,179839787,16.7114,-1.4311,1.8403,1,26.3642,0.9499,-1.6676,-1,Zmumu
83,173381,167802437,10.7391,-1.8072,-0.1293,-1,13.9603,1.4365,-2.8641,1,Zmumu
84,173430,199802042,38.5937,1.5053,-1.4344,1,50.3459,0.5052,0.7658,-1,Zmumu
85,173430,223373414,50.4473,0.478,-0.8524,-1,15.7106,-0.6588,2.203,-1,Zmumu
86,167098,262334636,34.4142,-0.6436,1.6699,1,39.6396,0.6115,-1.7438,-1,Zee
87,172630,135543249,38.6534,1.0786,-0.2624,1,41.6916,1.8308,2.8152,-1,Zee
88,166923,1904528,149.25,0.2941,1.5425,-1,47.5629,-0.6898,1.3581,-1,Zee
89,166784,19882457,45.0925,-2.3619,-1.1297,1,40.8498,-1.4957,2.4078,-1,Zmumu
90,171876,424257958,36.7085,-0.0511,1.6343,1,44.2131,0.3488,-1.5153,-1,Zee
91,167102,304968044,43.6185,1.2997,-0.372,-1,44.8873,0.8484,2.9523,1,Zmumu
92,173692,366569179,36.2816,0.9273,-0.2356,-1,39.96,-0.3383,2.7837,1,Zmumu
93,172163,571404093,40.9575,-0.4083,0.7744,-1,51.859,-0.0795,-2.5664,1,Zee
94,167807,1111779872,33.3964,-0.1236,1.2329,-1,65.0223,-0.8235,-1.3458,1,Zmumu
95,173430,213849422,25.4441,-2.0044,1.0041,1,13.9656,1.0695,-2.3142,-1,Zmumu
96,166895,112112873,31.1541,-1.5442,-0.3193,1,29.5829,0.4179,2.8432,-1,Zmumu
97,173692,561559962,44.5781,1.657,-0.0209,-1,47.016,1.5857,-3.0843,1,Zmumu
98,166438,59182713,26.2321,-1.0556,2.9878,-1,13.343,1.2842,0.0064,1,Zmumu
99,163332,306230974,33.7265,1.2691,0.0691,-1,32.2838,1.9422,-2.9453,-1,Zee
100,166895,91447006,18.6549,-1.8543,-1.1194,1,31.0597,0.684,2.1125,-1,Zmumu
101,171117,10554929,42.0591,1.1626,1.5033,-1,43.8662,1.7955,-1.7061,1,Zee
102,171446,204113586,48.8072,-1.9086,0.4666,-1,45.3573,-2.4322,-2.1407,1,Zee
103,166784,69896508,18.663,-2.3904,0.1517,1,20.6974,0.5103,-2.9919,-1,Zmumu
104,172630,132450482,44.7187,0.5843,2.1297,1,48.114,0.0506,-0.7517,-1,Zee
105,166782,296646324,33.5605,1.7148,-0.9412,1,81.3507,2.4528,1.891,-1,Zee
106,160957,16327934,43.6958,-0.9134,-2.0006,1,44.5666,-0.3421,1.239,-1,Zmumu
107,167102,341673063,41.5206,-0.6319,-0.8523,1,32.5521,0.6974,2.1409,-1,Zmumu
108,166784,61558430,47.0961,1.9796,-1.496,-1,34.6335,0.9881,1.4406,1,Zmumu
109,166438,804512360,30.0099,-2.2782,1.5006,1,58.2079,-1.4596,-1.8006,-1,Zee
110,173430,206734018,42.5207,-1.963,0.0483,1,44.4013,-2.1238,-3.0276,-1,Zmumu
111,172802,286917436,41.0501,-1.5656,0.4169,1,52.6151,-1.6741,-2.9161,-1,Zee
112,171117,17331819,45.5481,-2.0024,0.8004,1,29.7962,-2.3513,-2.2388,1,Zee
113,173381,260243224,45.3295,1.3502,-0.5121,-1,38.948,0.4994,2.6601,1,Zmumu
114,163233,2717581,23.8611,-1.5251,1.801,1,40.8261,0.2813,-0.6043,-1,Zmumu
115,172411,450014817,46.3852,-2.1874,0.732,-1,39.8747,-1.4848,-2.4008,1,Zmumu
116,167830,350447912,46.1956,-0.7098,-1.8425,-1,44.7049,-0.9618,1.2172,1,Zee
117,166784,27722709,31.8746,1.3541,0.4403,-1,46.4195,0.22,-2.7941,1,Zmumu
118,171876,424544439,27.3096,-0.2287,-2.3714,1,38.4865,-2.0076,0.4437,-1,Zee
119,166923,176906304,47.4874,2.5928,-0.2837,-1,54.693,1.6483,2.7357,1,Zee
120,165570,289836310,42.9084,0.3133,-1.4263,-1,51.4844,0.3251,1.8716,1,Zee
121,166923,176380217,44.2799,1.2631,1.9056,-1,44.9243,1.6006,-1.3344,1,Zee
122,173198,85165875,42.0911,-1.8242,-0.8989,1,43.6333,-2.0261,2.2313,-1,Zee
123,170759,418842780,39.4328,-1.0286,-1.5838,1,37.4296,-1.4168,1.6129,1,Zee
124,167830,322422872,32.9733,1.443,2.8096,1,28.523,-0.8073,-0.5552,-1,Zee
125,163332,333601909,38.683,-0.6314,0.4818,1,36.0893,-1.9676,-2.2774,-1,Zee
126,171876,571517136,52.5934,-0.7332,2.8914,1,51.436,-1.208,-0.5804,-1,Zee
127,173406,232962874,45.8985,-0.6037,-0.9319,-1,31.283,-0.8756,2.35,1,Zee
128,166033,496863612,27.3471,1.0412,-1.4464,-1,35.3349,-0.7833,1.4377,1,Zmumu
129,166895,116996864,16.4209,-1.631,-2.4007,-1,11.3206,1.3589,-0.9619,-1,Zmumu
130,172802,258391483,37.5577,0.6324,-0.2155,-1,41.9876,1.8628,-3.022,1,Zee
131,166033,495968154,92.3836,-0.1499,-0.3636,-1,20.9513,0.3421,2.6571,1,Zmumu
132,173389,162007487,42.2312,1.175,-1.7569,-1,40.8645,1.6379,1.5384,1,Zee
133,160957,129299895,50.8734,0.0268,1.4264,1,41.1075,0.1821,-2.1885,-1,Zmumu
134,163233,5321478,40.7886,-2.32,-1.5842,-1,53.0602,-2.0852,1.852,1,Zmumu
135,167830,304588422,33.434,0.8417,0.4729,-1,47.5396,-0.9286,-2.4709,1,Zee
136,167913,55711341,58.1039,-1.8806,-0.5191,1,49.6949,-1.655,2.6495,-1,Zee
137,165548,647281449,50.0412,1.5122,-2.0294,1,39.5269,1.3985,1.0666,-1,Zmumu
138,173692,336170700,20.9478,-1.5108,-0.3563,1,42.0899,0.4252,-2.9371,-1,Zmumu
139,173692,359075708,10.3394,-2.0228,0.3142,1,26.9685,0.5318,-3.0293,-1,Zmumu
140,173692,520751151,36.8505,-1.9265,2.4362,1,31.3049,-0.2513,-0.6252,-1,Zmumu
141,166895,126912383,33.1727,-1.1528,0.2606,-1,25.5114,0.9281,2.6068,1,Zmumu
142,166782,297280500,49.4682,-1.0572,2.7392,-1,39.615,-1.1774,-0.3547,1,Zee
143,167102,185680461,25.8117,-0.7806,-0.5235,-1,54.7456,1.2229,-3.0542,1,Zee
144,167830,119469197,44.489,-0.5642,2.8044,1,39.8379,0.0018,-0.7216,-1,Zee
145,173692,355153318,38.7469,-1.3752,-2.0064,-1,52.1064,-1.2833,1.1101,1,Zmumu
146,166895,69806185,26.4921,-2.3584,-2.8363,-1,31.6483,-0.4452,-0.0733,1,Zmumu
147,173692,340768400,29.8048,1.3263,-0.8198,1,79.5162,0.9475,1.3311,-1,Zmumu
148,167098,319535785,67.4587,-2.1856,-2.7721,-1,49.64,-2.4175,-1.3996,1,Zee
149,163237,10894088,27.682,0.3702,-1.2519,1,39.8264,0.4434,2.0353,-1,Zee
150,173198,81158296,36.5649,-2.3215,-0.4447,1,46.3184,-1.4451,2.8192,-1,Zee
151,163332,305807690,32.5645,-0.2591,0.008,-1,40.3298,-0.1547,-2.9933,1,Zee
152,172163,299899732,29.7396,-1.07,0.2363,-1,47.2593,-0.4342,-2.9128,1,Zee
153,173381,186838282,41.9954,-1.6836,-1.4457,1,39.7124,-0.7513,1.5891,-1,Zmumu
154,167807,1091566760,45.1456,0.7276,-0.3584,-1,36.9964,-0.1409,2.7786,1,Zmumu
155,170759,410209169,25.2594,-1.9204,-2.6993,1,27.5549,-0.1621,0.3197,-1,Zee
156,173406,226390442,30.9436,0.1484,-2.5725,1,43.3636,-0.0463,0.3241,-1,Zee
157,166033,515344867,24.3948,-2.2917,-0.7349,-1,23.6313,-0.1975,2.2572,-1,Zmumu
158,167098,318345065,46.9245,-0.9105,2.0691,1,41.7137,-0.6168,-1.1403,-1,Zee
159,167098,250931180,27.6371,0.0435,1.0827,1,54.6225,1.9016,-2.2327,-1,Zee
160,165617,160526738,21.9249,1.866,2.0408,1,29.4515,-0.6147,-0.6301,-1,Zmumu
161,172802,320717144,43.0123,-0.0606,-0.6826,1,43.4489,0.5196,2.3776,-1,Zee
162,173381,186703859,45.0075,-1.0526,1.7431,1,45.7575,-1.1539,-1.5032,-1,Zmumu
163,171484,269155307,44.8906,-1.4468,2.9705,-1,38.5121,-2.1732,-0.2575,1,Zee
164,167830,97222319,45.052,-1.0228,-0.0132,1,39.0083,-0.1846,3.1266,-1,Zee
165,171484,273447313,42.4463,1.4253,-1.8944,-1,45.2343,2.2565,1.479,1,Zee
166,173692,579093998,41.1346,1.9347,-1.5455,-1,43.0315,0.9405,1.643,1,Zmumu
167,166049,376762132,27.7459,-1.3147,-2.6242,1,85.1359,-1.9467,0.443,-1,Zee
168,167913,228401877,44.5699,0.2706,-0.1937,1,29.1818,-1.5442,-2.1799,-1,Zee
169,173389,685665344,37.4883,-0.765,-2.1599,1,41.5212,1.0534,-1.7494,-1,Zee
170,163332,314195983,32.7958,1.2167,2.8824,1,30.1709,-0.6198,-0.6233,1,Zee
171,172952,1032892485,37.1454,0.341,-1.5358,-1,60.4288,0.2103,1.6064,1,Zmumu
172,173430,207768776,40.8112,1.7924,0.4604,1,43.8824,1.7464,-2.1054,-1,Zmumu
173,172163,329633293,30.6421,-0.4555,2.6019,-1,88.1879,0.1018,-0.1442,-1,Zee
174,167098,196952349,42.586,0.9143,-1.3616,1,48.2307,0.7502,1.5186,-1,Zee
175,166841,853362780,45.6956,2.0896,1.0043,-1,40.8953,1.5313,-2.1967,1,Zee
176,166438,118138891,41.4047,-0.6946,-2.4813,-1,40.2839,0.2245,0.4242,1,Zmumu
177,173692,1213954047,51.06,-0.6906,0.1961,1,49.2546,-0.6473,2.7525,-1,Zmumu
178,167807,1158274597,32.9273,1.9605,1.2406,-1,34.7059,0.3571,-1.9839,1,Zmumu
179,163738,144687980,36.6061,-1.4128,-1.016,1,27.7219,-0.8426,1.6667,-1,Zee
180,173692,310541113,22.8557,-2.232,-0.5767,1,33.2686,-0.1541,2.4891,-1,Zmumu
181,167830,345895872,43.3737,1.1669,0.674,-1,74.9698,1.556,-2.4606,-1,Zee
182,173381,332759155,35.2307,-1.1743,2.8831,1,57.0336,-0.7637,-0.0027,-1,Zmumu
183,167807,1156647959,18.7357,-2.1886,0.9722,1,51.5005,-0.3169,3.0032,-1,Zmumu
184,166438,64498128,30.6252,0.6711,0.334,-1,33.17,-0.9487,-2.9609,1,Zmumu
185,166782,361080034,49.9069,0.2512,-1.8604,-1,47.8669,-0.2981,1.3899,1,Zee
186,167807,1060029444,44.4459,-1.3711,2.6881,1,45.8621,-1.7608,-0.4927,-1,Zmumu
187,171876,598124346,25.6321,0.585,0.6259,-1,33.5802,1.2832,-2.6135,-1,Zee
188,172163,189777043,38.8754,0.5606,0.1749,1,32.8781,2.1231,-2.4345,-1,Zee
189,163589,11094130,39.892,1.2808,-1.6549,-1,34.3715,-0.1113,1.145,1,Zmumu
190,173198,1057315599,46.6701,-0.8866,-2.0756,1,39.5351,-1.4499,0.7463,1,Zee
191,165570,79166699,43.161,-2.5152,-1.2253,1,32.1036,-1.2628,2.4695,1,Zee
192,170759,419012372,35.0309,-0.2198,-0.599,-1,36.1818,-1.439,2.5188,1,Zee
193,167102,319833392,13.7829,-2.4014,-2.0144,1,25.4507,0.9613,1.7248,-1,Zmumu
194,172163,302817946,26.844,-2.1379,-2.8428,-1,60.233,-1.2334,-0.1264,1,Zee
195,166033,486156267,269.08,0.1897,2.7598,1,175.821,0.4,2.4004,-1,Zmumu
196,172952,353832043,44.704,-0.3336,-0.5797,-1,44.9335,-0.2146,2.6242,1,Zee
197,166923,2314148,25.5997,1.0745,0.9195,1,40.3029,1.6344,-2.9809,1,Zee
198,167830,339245492,33.2774,0.2897,2.7206,-1,31.3025,-0.4043,0.3571,1,Zee
199,173430,187394319,25.3664,-1.7199,0.8424,-1,21.0572,0.9787,-2.074,1,Zmumu
200,166895,336997592,40.0786,-0.2961,-0.2143,-1,54.0476,-0.2971,3.0182,1,Zmumu
201,173406,232283914,44.6573,0.129,2.4875,1,42.5763,0.7513,-0.4625,-1,Zee
202,160957,60032286,43.1752,-0.9186,0.4888,-1,45.9126,-0.8606,-2.5544,1,Zmumu
203,163332,315702258,44.4836,1.8298,-2.2892,1,43.7097,2.1305,0.8412,-1,Zee
204,166895,144594496,40.9668,-2.1361,-0.5132,-1,41.3846,-1.1597,2.6977,1,Zmumu
205,171484,279153593,71.9019,-1.2364,-2.1186,-1,27.2849,0.2552,1.8846,1,Zee
206,165617,96059264,43.1225,-0.798,-2.5018,-1,45.5645,-0.6205,0.6761,1,Zmumu
207,173198,1052769548,37.4231,0.7527,2.8994,1,36.7097,-1.1199,-0.2853,-1,Zee
208,167807,1171984036,32.7111,-0.9093,3.0033,1,30.844,0.8563,-0.1372,-1,Zmumu
209,172630,130141348,47.4461,-0.153,2.313,-1,65.9022,-0.6077,-1.7457,1,Zee
210,172952,305645208,35.0977,0.1413,1.4078,-1,40.7426,1.8179,-1.4961,-1,Zee
211,173692,352098264,53.9906,1.0318,-0.4007,1,35.57,-0.1661,-2.302,-1,Zmumu
212,167102,384359660,43.3243,-0.5204,-2.696,-1,47.4806,-0.1772,0.4676,1,Zmumu
213,163817,673441166,33.2363,-0.994,0.1301,1,33.6782,0.0633,-2.3047,-1,Zee
214,172163,496347101,39.5592,0.3013,2.8581,1,32.4832,2.0203,-0.4267,-1,Zee
215,173692,547565761,35.3829,1.8459,1.5122,-1,56.3593,1.4797,-1.5824,1,Zmumu
216,167098,199931907,35.0335,1.4735,0.0224,-1,35.6167,2.0966,2.9073,1,Zee
217,167830,228251261,25.6383,-0.3523,-2.2849,-1,32.6222,-2.2534,1.1813,1,Zee
218,166049,235172441,46.3104,-1.1018,-2.1345,1,35.5258,-1.9332,0.88,-1,Zee
219,166895,428773918,53.7166,1.0157,-1.3241,1,39.0049,0.8487,1.9305,-1,Zmumu
220,172952,163311928,35.7147,-0.4321,2.3108,1,34.6612,0.9451,-0.7225,1,Zee
221,167807,1186464039,74.6988,-1.3296,2.3827,-1,21.1676,-0.3192,-0.8382,1,Zmumu
222,166895,79409437,35.0771,-1.105,2.2088,1,34.4012,0.4736,-0.9089,-1,Zmumu
223,160957,126501371,43.7767,0.156,1.108,-1,40.8294,0.8798,-1.9814,1,Zmumu
224,166049,186915186,41.0572,0.041,-0.5185,1,52.4284,0.1131,2.7558,-1,Zee
225,167098,326483873,36.0922,-0.9167,2.773,1,34.6491,0.5668,-0.3293,-1,Zee
226,173389,685399169,51.6237,-1.1313,2.0257,-1,45.1489,-0.5617,-1.7663,1,Zee
227,166895,139056213,41.4944,-0.3323,-1.4599,-1,35.1129,0.8806,1.7653,1,Zmumu
228,167807,1098103747,35.2555,-1.3566,1.04,1,35.7279,0.0085,-2.0734,-1,Zmumu
229,172163,577958710,41.1017,-0.1537,-2.6908,1,51.2142,0.2276,0.1083,-1,Zee
230,172952,572859423,40.4554,1.1235,-0.598,1,42.0266,0.8914,2.4402,-1,Zmumu
231,172630,129542406,41.9269,-0.4009,1.3495,-1,47.6405,-0.6519,-1.6445,1,Zee
232,166782,358942399,29.5675,-0.9635,-2.1374,1,32.5519,0.8558,0.4361,-1,Zee
233,172014,199812311,39.8252,-0.5598,-0.4271,1,34.3158,0.822,2.8274,-1,Zee
234,173198,83793751,36.3428,-2.5131,1.1331,-1,40.3598,-1.3755,-1.9326,1,Zee
235,172163,501057375,33.2824,-0.2738,-0.1677,1,50.8205,1.1982,-3.0718,1,Zee
236,165617,83356555,49.3025,-1.1748,-0.2495,1,34.8365,-0.2075,-2.9445,-1,Zmumu
237,167913,53510134,31.9564,-1.6027,0.9631,1,28.0019,-0.2508,-2.7274,1,Zee
238,166967,87067886,58.3002,-0.872,1.0332,1,52.7022,-0.9203,-2.1198,1,Zee
239,173692,750592602,20.1806,-0.5122,-2.908,-1,45.5277,-0.5693,0.4542,1,Zmumu
240,173692,1225126379,43.0186,0.2616,-0.9607,1,46.2936,-0.2676,2.2331,-1,Zmumu
241,167830,351706106,27.1097,1.1986,2.2073,-1,26.7977,-0.9127,-0.0014,1,Zee
242,172163,322361506,66.6738,1.0112,0.0127,-1,27.6779,0.288,3.1147,1,Zee
243,163332,404245440,48.5036,-1.3798,2.4086,-1,66.0234,-0.6119,-0.1224,1,Zee
244,166784,19761101,38.5366,1.9513,-0.2767,-1,37.6066,0.708,2.9356,1,Zmumu
245,173381,246033531,39.2972,1.2818,-0.5823,-1,34.721,-0.1828,3.0275,1,Zmumu
246,173692,391451980,55.9303,1.4854,1.4596,1,46.2749,1.0347,-1.6732,-1,Zmumu
247,173406,229134899,33.1389,0.1779,1.5436,1,38.7966,1.5812,-1.4967,-1,Zee
248,173430,214177793,55.9051,-1.249,2.4252,-1,51.7342,-0.935,0.2657,1,Zmumu
249,163340,59213153,30.1549,-2.1262,-2.7949,-1,61.3863,-1.2624,0.1726,1,Zmumu
250,173381,210568097,49.5832,1.2613,-3.1361,-1,62.0766,1.1065,1.2926,1,Zmumu
251,166033,474703199,40.1019,1.728,0.8715,-1,40.4458,0.6731,-2.2441,1,Zmumu
252,172163,324690751,47.1422,-0.0088,0.4683,-1,202.356,0.7252,-0.438,-1,Zee
253,167913,167015151,27.0738,-0.5598,2.1965,1,32.9997,-2.0267,-0.8667,-1,Zee
254,166438,44382061,17.7487,-1.0084,2.2781,1,33.4258,1.4784,-0.5471,-1,Zmumu
255,166033,1122772731,50.4909,-0.6902,-0.8801,-1,39.2777,-0.2699,2.8869,1,Zmumu
256,167098,358955398,38.0279,1.1352,-2.7099,-1,36.3087,-0.619,-1.2821,-1,Zee
257,166895,150121703,31.9822,1.0105,2.3205,1,75.2708,0.7403,-0.0247,-1,Zmumu
258,173692,383587325,43.8012,0.3183,1.1006,-1,46.0119,0.5158,-2.0673,1,Zmumu
259,171484,269169695,45.1735,-1.2026,-1.5406,1,42.3777,-1.5446,1.9834,-1,Zee
260,165617,144038356,43.6057,0.3652,-1.4354,1,45.4724,0.1104,1.3028,-1,Zmumu
261,173692,522108106,44.3208,1.9911,-2.8274,1,44.9931,1.4915,0.3409,-1,Zmumu
262,173692,566614597,43.6927,1.1078,-1.7796,1,46.6507,1.1527,1.259,-1,Zmumu
263,163237,10634502,29.9998,1.5696,1.5291,-1,29.4856,-0.8431,-1.4674,-1,Zee
264,173692,1232025315,44.761,-1.0555,2.8464,-1,39.0352,-0.9502,-0.3426,1,Zmumu
265,172952,306076292,58.3215,-1.2929,-0.1046,-1,33.4646,-1.6006,-2.988,-1,Zee
266,167830,355225424,38.847,0.5402,-2.4783,-1,48.6641,0.1398,0.2833,1,Zee
267,166784,62811785,12.3516,-1.9362,-0.4785,1,15.3153,1.7259,2.4864,-1,Zmumu
268,171117,11928455,49.1951,-1.0855,1.1286,1,38.8791,-1.459,-2.021,-1,Zee
269,166033,519926666,37.8673,-2.3914,0.7043,-1,39.3992,-1.3386,-2.4059,1,Zmumu
270,167740,102743898,29.1956,-0.8741,2.5838,-1,41.6624,0.919,-0.2032,1,Zee
271,173381,166092958,29.3429,1.3083,0.3409,-1,39.2518,-0.3036,-3.1108,1,Zmumu
272,165570,120030224,45.4475,1.0679,3.0482,1,41.8964,1.3469,-0.0863,-1,Zee
273,165548,614445280,47.6353,-1.2852,1.4827,-1,47.8945,-1.454,-1.4452,1,Zmumu
